section,subsection,content,tokens
access,misc,"# Accessing GovText

### SITE ADDRESS

GovText is accessible from both the Internet and Intranet via https://www.govtext.gov.sg on a Google Chrome web browser.


### FORGOT PASSWORD

If you forgot your password, click the **Forgot password?** link to reset it.


### ACCESS FROM INTRANET

To access GovText from your SOE laptop, go to [**https://www.govtext.gov.sg**](https://www.google.com/url?q=https%3A%2F%2Fwww.govtext.gov.sg&sa=D&sntz=1&usg=AFQjCNFmUQ09hqG2ukKuQllzPjWQNmnPaw) on a Google Chrome web browser.

If you are unable to access the site, it is likely that your agency has not whitelisted GovText yet. Please send us an email at [govtext@tech.gov.sg](mailto:govtext@tech.gov.sg) or [han_jing@tech.gov.sg](mailto:han_jing@tech.gov.sg) to find out more information regarding Intranet access to GovText, and how to proceed with your agency firewall application if it has not been done.


### Data Classification and Sensitivity <a id=""h.32x8x58qe25c""></a>

GovText resides in the Government Commercial Cloud \(GCC\), which **supports up to Restricted and Sensitive\(Normal\) data**. If you are accessing GovText from an Internet device, please be aware that classified data should not be transferred out of your SOE laptop, or processed over the Internet.
",339
access,registration,"### ACCOUNT REGISTRATION

To register your account, click on the **Sign Up** button at the home page to start the registration process.

Please provide your name, email address and password. Do note that your email address must be a **Public Officer’s work email address** \(e.g. those ending with .gov.sg\).

A valid password must contain at least 12 characters, and be a combination of:

* Upper and lower case letters
* Digits \(0-9\)
* Special characters \(@, !, etc.\)

![](/img/Doc_Access_CreateAccount.JPG)

Upon hitting **Create Account**, a verification email will be sent to your registered email address. You can find a sample email below.

Once you have successfully verified your email address, you can proceed to log in and use GovText!

If you don't find the email in your Inbox, try checking your Spam mail box.

![](/img/Doc_Access_CreateAccount3.JPG)",200
datasets,overview,"# Datasets

GovText is designed to be dataset-centric (i.e. the same dataset can be used for multiple analyses). Thus, you will be required to upload your dataset before proceeding to create an analysis.

You will find the dataset management page by clicking on the **Datasets** button in the navigation bar.

### DATASETS OVERVIEW
On the Datasets page, you can do the following:

* Upload your datasets
* Update the metadata of an existing dataset, including dataset name, data classification and sensitivity
* View an overview of your datasets: total size of your raw datasets stored on GovText, size of individual datasets, and number of predictions done on a particular dataset
* Search for your datasets by name
* Delete your datasets
* Download your datasets
* Navigate to a particular dataset by clicking on a row displayed in the table

> Overview of your datasets
> 
![Dataset1.JPG](/img/Dataset1.JPG) ",195
datasets,edit,"### UPLOAD DATASET
Clicking on the **Upload** button on the Datasets page or the home page will bring you to the dataset uploading page. 

The data must be in an **excel (.xlsx / .xls)** or **CSV (.csv)** file and be in the **first worksheet** of the file.

The column that you wish to analyse must be named as “**text**”. Do format your data such that each row in the worksheet represents one document (an article, email, feedback etc.)

Do note that each dataset file should be **less than 20MB**, and **should not exceed 10,000 documents**. For dataset files used for summarisation, only the **first 50 documents** will be processed and summarised.

You can refer to the picture below or download our sample datasets under [**Resources**](../resources/sample-datasets) for more details.

![Dataset2.JPG](/img/Dataset2.JPG)

### DELETE DATASET
A dataset can only be deleted when it is not used by any prediction. 

To delete a dataset that is currently used for a prediction, please delete the corresponding prediction before deleting the dataset. You can find the list of predictions using a particular dataset from the individual dataset page.

### INDIVIDUAL DATASET PAGE
On the individual dataset page, you will be able to see the list of predictions that used the selected dataset, and preview its contents.

You can delete the predictions directly from this page if you wish to.

> Individual dataset page
>
![Dataset3.JPG](/img/Dataset3.JPG) ",323
navigation,overview,"# Navigation

### HOME PAGE

After you log in to GovText, you will be redirected to the home page. This page provides you with an overview of your recent activities, including:

* The processing status of your most recent analysis 
* Your storage utilisation
* Quick access to your last 6 analyses

![WelcomePage.jpg](/img/WelcomePage.jpg)

From the home page, you will be able to go to the **Datasets**, **Predictions** and **Stopwords** pages through the navigation bar. The navigation bar can be collapsed by clicking the folding icon next to the GovText logo.

GovText is designed to be dataset-centric (i.e. the same dataset can be used for multiple analyses). Thus, you will be required to upload your dataset before proceeding to create an analysis. 


### DATASETS

A dataset refers to the list of documents, feedback or other types of textual information that you need to analyse. The **Datasets** button in the navigation bar will bring you the page where you can upload and manage your datasets stored on GovText. Do note that we have imposed a **500MB storage limitation** for each user’s raw data, so please manage your datasets to keep within the limit.

### PREDICTIONS

A prediction refers to the results of an analysis. The **Predictions** button in the navigation bar will lead you to the page where you can choose your type of analysis (e.g. topic modelling or summarisation), and manage your past submitted analyses.

### STOPWORDS

Stopwords are words that are not useful, or may negatively impact the analysis. Most of these stopwords will be automatically removed from your data during the pre-processing stage. However, in the event where domain-specific stopwords are required, you have the option of creating custom stopword lists under the **Stopwords** button in the navigation bar. You will be able to select which custom list to use when creating your analysis.
",396
predictions,overview,"# Predictions

To create or manage your predictions, click on the **Predictions** button on the navigation bar. 

To view the results of a prediction, click on the respective row in the table. 

To create a new prediction, select the type of prediction you are interested in. 

You can find more details on interpreting Topic Models here.

![PredictionList.JPG](/img/PredictionList2.JPG)",85
stopwords,overview,"# Stopwords
Stopwords are frequently used terms that do not provide additional meaning or context to a text. While GovText uses a default list of stopwords, users may choose to include their own domain-specific stopwords in their analysis. 

### CREATE STOPWORD COLLECTIONS
Click on the **Stopwords** button in the navigation bar to manage your stopword collections.

Refer to the steps below to create your custom stopword collection:

1. Click on the **+** button at the bottom of the screen

2. Enter a name for your stopword collection

3. Add some words to the collection (press **enter** key to add a word)

4. Save the collection by clicking the **Save** button.

The animation below demonstrates this process.

![CreateStopwords](/img/Stopwords_create.gif)

Instead of keying in each word individually, you can also copy a list of stopwords from a document, such as notepad or excel, and paste the list into the stopwords collection. The list of stopwords inserted in this manner will be automatically separated by spaces and new line characters.

Below animation demostrates how to do it with the short cut.

![CreateStopwordsShortCut](/img/stopwords_shortcut.gif)

### EDIT OR DELETE STOPWORD COLLECTIONS

Click the pen or the bin icon to edit or delete a stopword collection.

In the edit mode, you can change the stopword collection name, and add or remove stopwords.

![EditStopwords](/img/Stopwords_edit.png)",309
summarisation,concept,"## CONCEPT
GovText offers two summarisation options:

1. **Normal**: using abstractive summarisation, the main points of a document are consolidated and paraphrased into a short paragraph which reads like a human written one  
2. **Quick**: using extractive summarisation, the most important sentences of a document are ""lifted"" and highlighted

Due to the complexity involved in performing an abstractive summarisation (normal summary), it takes up more computing resources and time. Therefore, users need to enter the maximum length (number of words) of the summary they want, and only one summary which is shorter or equal to this length will be returned.  

Extractive summarisation (quick summary) is very much faster than abstractive summarisation. When this option is activated, summaries of the following lengths will be returned for each document: 

1. Short (around 15% of original document length) 
2. Medium (around 30% of original document length)
3. Long (around 45% of original document length)

The abstractive summarisation uses models pre-trained on summaries of news articles. Therefore, abstractive summarisation works best on similar articles. 
",245
summarisation,submit analysis,"## SUBMIT AN ANALYSIS
Click on the **Predictions** button in the navigation bar, then select the **Summarisation** card.

On the Summarisation submission page:

1. Enter a name for your analysis
2. Select a dataset from the existing dataset list 
3. Change the configuration based on your needs
4. Click **Submit**

If the submission is successful, a message will appear to inform you of this.

The animation below demonstrates this process. 

![Summarisation_Config](/img/Summarisation1_Config.gif)

The maximum number of predictions in the **Created** or **In Progress** statuses is capped at 3 per user. That means that until 1 of the predictions is completed, you will not be allowed to submit any more predictions. 

When submitting a prediction, you will be informed of the number of predictions that are still being processed.
![CountInProgress](/img/TopicModelling_Submit2.JPG)

### Select Dataset
On the Summarisation submission page, you can find the full list of datasets that you have already uploaded. Select the dataset that you will be using for this analysis. 

You can do a search using the dataset name.

![Summarisation_DataFilter](/img/Summarisation2_DataFilter.gif)

Do note that **only the first 50 documents in the Excel or CSV file will be processed**. Any documents after the 51st row in the spreadsheet will be discarded for summarisation. 


If there are multiple documents in the Excel or CSV file (1 document per row in the file), each document will be summarised individually. 

If you need to upload a new dataset, click on the **Upload New Dataset** button or the **Dataset** button in the navigation bar, to reach the  Dataset Upload page. The steps to upload a dataset can be found in the [Datasets](datasets) section. 

After successfully uploading your new dataset, you will need to return to the Summarisation submission page.

### Summarisation Options
As mentioned above, GovText offers two types of summarisation: 

1. By default (Quick Summary not checked), abstractive summarisation will be performed. This will return paraphrased summaries of the documents' main points but the time taken is longer. For this option, you will need to select the maximum summary length.

    Do note that the summaries returned might not be close to the selected maximum summary length (but they will definitely not be more than this length). This is because the model score the words in the summary and decide on the optimum length which provides the most coherent one. From our experiments, the model produces the most coherent summaries with lengths around 200 words.

2. If you select the Quick Summary option, key sentences from the documents will be highlighted using extractive summarisation. There is no need to select the maximum summary length for this option.

![Summarisation_Config](/img/Summarisation4_Config.JPG)",608
summarisation,check status and results,"## CHECKING PROCESSING STATUS

Click on the **Predictions** button on the navigation bar. 

Under the List of Predictions table, you will see the processing status of all your submitted predictions. 

To view the results of a completed prediction, click on the corresponding row. 

## VIEWING THE SUMMARY RESULTS

### Normal (Abstractive) Summary
For normal summaries, the main points are paraphrased and the summaries and presented as short paragraphs in the **Summary** panel.

If there are multiple documents in your dataset, use the arrows at the bottom of the page to switch between documents.
![Summarisation_Result_Abstractive](/img/Summarisation5_Results_Abs.JPG)


### Quick (Extractive) Summary
If the Quick Summary option is selected, the summaries will be in point forms, and the corresponding sentences in the original document will be highlighted.

Three versions of the summaries will be shown - short, medium, and long. Click on the summary length buttons above the summary panel to switch between the versions.  

![Summarisation_Result_Extractive](/img/Summarisation6_Results_Ext.JPG)


### Other Utilities
The **Download all results** icon is for downloading the full set of results.

The **Create new prediction** button is a shortcut to create a new prediction with the exact same settings as the current prediction.

![Summarisation_Result_buttons](/img/Summarisation7_2buttons.gif)


## DOWNLOAD ALL RESULTS
Click the **Download all results** button above the Original Document panel. 

The summaries of all documents in the analysed dataset will be downloaded as a zip file. Please uncompress the file to view them.



The unzipped Excel file for the Normal (Abstractive) Summary results has 3 columns:

* Column A: Document ID
* Column B: Original Document
* Column C: Summary

![Summarisation_Result_DownloadAbstractive](/img/Summarisation8_DownloadAbs.JPG)

The unzipped Excel file for the Quick (Extractive) Summary results has 5 columns:

* Column A: Document ID
* Column B: Original Document
* Column C: Short Summary
* Column D: Medium Summary
* Column E: Long Summary

![Summarisation_Result_DownloadExtractive](/img/Summarisation9_DownloadExt.JPG)",488
